# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
GJ 758 b,Confirmed,37.9,1.5,1.5,,,,,,,109000,62000,198000,33,6,6,0.42,0.2,0.2,52,6,6,3.516129,2009,2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,,,,,5,Published in a refereed paper,Imaging,Spectrum,,,CH4,GJ 758,290.8916667,33.2219444,6.36,,,,,15.5,,,0.18,0.04,0.04,0.97,,,0.88,,,K0V,8.2,0.5,0.5,5425,,,,,"Gliese 758, HR 7368, HD 182488"
GQ Lup b,Confirmed,25,15,11,,,,1.8,,,,,,103,37,37,,,,,,,0.735714,2005,2010-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,GQ Lup,237.3,-35.6508333,11.4,,,,,140,50,50,,,,0.7,,,,,,K7eV,0.001,0.001,0.001,,,,Imaging,,
GSC 08047-00232 b,Confirmed,25,10,10,,,,,,,,,,,,,,,,,,,,2003,2018-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J01521461-5219332 b,,GSC 08047-00232,28.0609411392,-52.3258848296,,,9.06,8.54,8.45,86.2977,0.298,0.298,,,,0.8,0.1,0.1,,,,K2V,0.03,0.02,0.02,,,,,,2MASS J01521461-5219332
GSC 6214-210 b,Confirmed,17,3,3,,,,,,,,,,320,0,0,,,,,,,2.206897,2010,2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,GSC 6214-210,245.4791667,-20.7186111,,,,,9.15,145,14,14,,,,0.6,,,,,,M1,0.011,0.002,0.002,,,,,,
GU Psc b,Confirmed,11,1,1,,,,1.35,0.03,0.03,,,,2000,200,200,,,,,,,,2014,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,4.5,Published in a refereed paper,Imaging,,,,CH4,GU Psc,18.145833345,17.065555569,13.55,,,,,48,5,5,,,,0.35,,,,,,M3,0.1,0.03,0.03,,,,,,
HD 106906 (AB) b,Confirmed,12,1,2,,,,,,,,,,735,3,3,,,,,,,,2013,2013-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HD 106906,184.470833351,-54.024444418,7.8,,,,,92,6,6,,,,2.6,0.1,0.1,,,,F5V,0.013,0.002,0.002,6516,165,165,Imaging,,
HD 1160 b,Confirmed,20,,,,,,,,,,,,80,0,0,,,,,,,0.772947,2012,2020-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 1160,3.9875,4.2511111,7.12,,,,,103.5,4,4,-0.3,,,2.2,,,,,,A0V,0.05,0.04,0.04,,,,,,
HD 118865 B,Confirmed,55,13,13,,,,,,,,,,9200,,,,,,,,,,2013,2020-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,ULAS J133943.79+010436.4,,HD 118865 A,204.893023601,1.08836844038,7.98,,,6.73,,,,,,,,1.1,,,,,,F8V,3.2,1.7,1.7,,,,,,"HIP 66637, 2MASS J13393431+0105180"
HD 126053 B,Confirmed,35,15,15,,,,0.9,0.1,0.1,,,,2630,,,,,,,,,,2012,2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Published in a refereed paper,Imaging,Spectrum,,"BD+01 2920 B, WISE J142320.84+011638.0",,HD 126053 A,215.813686478,1.24156717364,6.27,5.39,5.05,4.81,4.64,17.4385,0.011,0.011,-0.38,0.06,0.06,0.87,0.07,0.07,,,,G1V,8.5,6,6,5750,100,100,,,"BD+01 2920, HIP 70319, 2MASS J14231528+0114294"
HD 19467 b,Confirmed,56.7,7.2,4.6,,,,,,,,,,72.5,26,180,,,,,,,,2016,2016-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 19467,46.829166673,-13.761666691,7,,,,,30.86,0.6,0.6,-0.15,0.04,0.04,0.95,0.02,0.02,1.15,0.03,0.03,G3V,7.2,2.8,2.8,5680,40,40,,,
HD 203030 b,Confirmed,11,4,4,,,,,,,,,,487,,,,,,,,,,2017,2019-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,,,,,,Published in a refereed paper,Imaging,Spectrum,,"V457 Vul b, HIP 105232 b",H2O,HD 203030,319.7416667,26.2305556,8.43,,,,,41,1.2,1.2,,,,0.97,,,,,,G8V,0.25,0.07,0.07,,,,,,
HD 206893 b,Confirmed,22.5,8,8,,,,,,,9862,2192,2192,10,2,1,0.23,0.15,0.15,150,10,10,,2016,2020-10-29,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 206893,326.341666674,-12.783333349,6.67,,,,,38.34,0.8,0.8,,,,1.24,,,,,,F5V,1.1,1,1,6486,,,,,
HD 284149 b,Confirmed,32,18,14,,,,,,,,,,400,,,,,,,,,,2014,2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2537,,,,,,Published in a refereed paper,Imaging,,,,,HD 284149,61.662500013,20.303055564,9.63,,,,,108.2,18.5,18.5,,,,1.14,0.05,0.05,,,,F8,0.025,0.025,0.01,6040,60,60,,,
HD 3651B,Confirmed,53,15,15,,,,0.8,0.06,0.06,,,,476,6,6,,,,,,,,2006,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,Published in a refereed paper,Imaging,Theoretical,,"0039+2115, 54 PscB, GL 27B",,HD 3651,9.8375,21.2502778,5.8,,,,,11,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5.13,,,5173,,,IR Excess,,54 Psc
HD 95086 b,Confirmed,2.6,0.4,0.4,,,,,,,,,,51.45,4.66,4.66,0.16,0.09,0.09,153,13.5,9.7,,2013,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,3.85,Published in a refereed paper,Imaging,Spectrum,,,,HD 95086,164.2625,-68.6672,7.36,,,,,90.4,3.3,3.3,,,,1.6,,,,,,A8III,0.017,0.004,0.004,7550,100,100,Imaging,,
HD 97334 b,Confirmed,53,,,,,,,,,,,,2620,,,,,,,,,,2001,2018-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,GJ 417 b,,HD 97334,168.134793948,35.8140810126,6.41,,,,,22.6538,0.0197,0.0197,-0.01,,,0.05,,,,,,G0V,,,,,,,,,GJ 417
HD 984 b,Confirmed,48,3,3,,,,,,,,,,18,4,10,,,,,,,,2017,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 984,3.54166667,-7.199166683,7.3,,,,,47.1,1.4,1.4,,,,1.2,,,,,,F7V,0.08,0.05,0.12,6315,89,89,,,
HII 1348 b,Confirmed,59,6,6,,,,,,,,,,138,7,7,,,,,,,,2012,2020-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HII 1348,56.825000006,24.390833347,12.8,,,,,127,7,7,,,,1.22,0.09,0.09,,,,K5V,0.15,,,,,,,,HII 1348Aab
HIP 38939 B,Confirmed,38,20,20,,,,,,,,,,1630,,,,,,,,,,2012,2020-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Published in a refereed paper,Imaging,,,HD 65486 B,,HIP 38939 A,119.518210354,-25.6266282997,8.44,7.28,6.51,5.94,5.83,18.4839,0.0132,0.0132,-0.3,0.1,0.1,0.6,,,,,,K4V,0.9,0.6,1.9,4683,35,35,,,"HD 65486 A, 2MASS J07580434-2537356"
